images,name,image_urls
"[{'url': 'https://media-cdn.tripadvisor.com/media/photo-o/06/dd/5f/3c/nycts-p046-deluxe-view.jpg', 'path': 'full/3d22033d546691924618a87bf2922c8847e1fca1.jpg', 'checksum': '231ac3c8b0748273519289fef3143481'}]","
,
Hyatt Centric Times Square New York
",https://media-cdn.tripadvisor.com/media/photo-o/06/dd/5f/3c/nycts-p046-deluxe-view.jpg
"[{'url': 'https://media-cdn.tripadvisor.com/media/photo-p/09/4e/04/5c/exterior.jpg', 'path': 'full/a4e8e0435bdc7beb20e83670db6c1afbb70ae45d.jpg', 'checksum': '79408947a5034570ae503543161afd2e'}]","
,
The Surrey
",https://media-cdn.tripadvisor.com/media/photo-p/09/4e/04/5c/exterior.jpg
"[{'url': 'https://media-cdn.tripadvisor.com/media/photo-p/0a/c1/ae/ca/muse-hotel-exterior.jpg', 'path': 'full/ea783de08c597aa59abfbd922b1464e98460bdc6.jpg', 'checksum': 'c02b72af1b16f64c20fef5a94fb68ca7'}]","
,
Kimpton Muse Hotel
",https://media-cdn.tripadvisor.com/media/photo-p/0a/c1/ae/ca/muse-hotel-exterior.jpg
"[{'url': 'https://media-cdn.tripadvisor.com/media/photo-o/0e/41/e8/bf/executive-king.jpg', 'path': 'full/d8bf9ca8340373f52d4e2675dedfce2ff40e1d66.jpg', 'checksum': 'b4ce6eaa9b70e8fc1b1bdf6ec9bdb6bd'}]","
,
Park South Hotel
",https://media-cdn.tripadvisor.com/media/photo-o/0e/41/e8/bf/executive-king.jpg
"[{'url': 'https://media-cdn.tripadvisor.com/media/photo-w/08/80/48/ca/hotel-exterior.jpg', 'path': 'full/bb4fce331c8800972ba204f81174d851ed40d2b8.jpg', 'checksum': '5db217b14a867574c4d5506c4b6428a8'}]","
,
Mandarin Oriental, New York
",https://media-cdn.tripadvisor.com/media/photo-w/08/80/48/ca/hotel-exterior.jpg
"[{'url': 'https://media-cdn.tripadvisor.com/media/photo-w/08/af/f1/c7/the-new-york-edition.jpg', 'path': 'full/5426197afdec48f27bd784cabeb6ce1e39d66714.jpg', 'checksum': '3a0bb69208f021ae4a8f06943200736f'}]","
,
The New York EDITION
",https://media-cdn.tripadvisor.com/media/photo-w/08/af/f1/c7/the-new-york-edition.jpg
"[{'url': 'https://media-cdn.tripadvisor.com/media/photo-o/0e/c2/80/60/breakfast-seating-area.jpg', 'path': 'full/2eb5306fc65e15cb6eeeb8f7295c257a2153c3b7.jpg', 'checksum': '28ebd4fc19f387778266aa733b2bcb04'}]","
,
Residence Inn New York Manhattan/Midtown East
",https://media-cdn.tripadvisor.com/media/photo-o/0e/c2/80/60/breakfast-seating-area.jpg
"[{'url': 'https://media-cdn.tripadvisor.com/media/photo-w/06/61/66/a7/executive-jr-suite.jpg', 'path': 'full/417bcdefa930629d334f00acd40bc5a137b59d3e.jpg', 'checksum': '9e8968df9872a5a8b76a01d75f217a0e'}]","
,
San Carlos Hotel
",https://media-cdn.tripadvisor.com/media/photo-w/06/61/66/a7/executive-jr-suite.jpg
"[{'url': 'https://media-cdn.tripadvisor.com/media/photo-w/0a/0d/13/6c/hotel-exterior-at-night.jpg', 'path': 'full/133f93e85d518ee7cc9c37e7aac7e299ab6aed3d.jpg', 'checksum': '9f5efa3e6f0e3abe20ccf9487175a148'}]","
,
Kimpton Hotel Eventi
",https://media-cdn.tripadvisor.com/media/photo-w/0a/0d/13/6c/hotel-exterior-at-night.jpg
"[{'url': 'https://media-cdn.tripadvisor.com/media/photo-w/0a/a1/33/cf/king-premium.jpg', 'path': 'full/0d55c6beb7dc898ef052fcaf280a9546731871f8.jpg', 'checksum': '805ac449c56bea84e658559e7c8968e4'}]","
,
Gild Hall, a Thompson Hotel
",https://media-cdn.tripadvisor.com/media/photo-w/0a/a1/33/cf/king-premium.jpg
